Year,median_age-EU27+4,population-EU27+4Input,population-EU27+3Input,population-UKInput
2023,43,530.1,462.0,68.1
2024,43,531.9,463.4,68.4
2025,43,532.6,463.8,68.7
2026,44,533.1,464.1,69.0
2027,44,533.4,464.1,69.2
2028,44,533.5,464.0,69.4
2029,44,533.6,464.0,69.7
2030,45,533.7,463.9,69.9
2031,45,533.8,463.8,70.1
2032,45,533.9,463.7,70.3
2033,45,534.0,463.6,70.4
2034,45,534.1,463.5,70.6
2035,45,534.3,463.5,70.8
2036,46,534.5,463.6,71.0
2037,46,534.7,463.6,71.1
2038,46,534.9,463.6,71.3
2039,46,535.0,463.5,71.5
2040,46,535.1,463.4,71.6
2041,46,535.1,463.3,71.8
2042,46,535.1,463.2,72.0
2043,46,535.1,463.0,72.1
2044,46,535.1,462.8,72.3
2045,47,534.9,462.5,72.4
2046,47,534.8,462.2,72.6
2047,47,534.6,461.8,72.8
2048,47,534.3,461.4,72.9
2049,47,533.9,460.9,73.0
2050,47,533.6,460.4,73.2